split,intent_type,compiled,dispatchable,abstained,incomplete,scenarios
test_challenge,appworld_amazon_order_filtered_product,24,24,0,0,8
test_challenge,appworld_amazon_order_product_type_from_saved_list,6,6,0,0,2
test_challenge,appworld_amazon_order_saved_collections,6,6,0,0,2
test_challenge,appworld_amazon_answer_cart_wishlist_total,3,3,0,0,1
test_challenge,appworld_amazon_answer_current_price_from_birthday_order,3,3,0,0,1
test_challenge,appworld_amazon_answer_last_order_question_yes_no,3,3,0,0,1
test_challenge,appworld_amazon_answer_order_arrival_date,3,3,0,0,1
test_challenge,appworld_amazon_answer_returned_product_yes_no,3,3,0,0,1
test_challenge,appworld_amazon_answer_spending_total,3,3,0,0,1
test_challenge,appworld_amazon_answer_verified_battery_life_hours,3,3,0,0,1
test_challenge,appworld_amazon_buy_last_product_variants,3,3,0,0,1
test_challenge,appworld_amazon_move_product_type_between_saved_lists,3,3,0,0,1
test_challenge,appworld_amazon_move_rating_filtered_products,3,3,0,0,1
test_challenge,appworld_amazon_order_exact_products_restore_cart,3,3,0,0,1
test_challenge,appworld_amazon_order_preferred_color_size_product,3,3,0,0,1
test_challenge,appworld_amazon_post_question_last_ordered_product,3,3,0,0,1
test_challenge,appworld_amazon_purchase_phone_recommendation,3,3,0,0,1
test_challenge,appworld_amazon_replace_last_product_adjacent_size,3,3,0,0,1
test_challenge,appworld_amazon_return_recent_orders,3,3,0,0,1
test_challenge,appworld_amazon_return_same_product_except_size_this_week,3,3,0,0,1
test_challenge,appworld_amazon_text_wishlist_itemized_costs,3,3,0,0,1
test_challenge,appworld_amazon_update_last_month_order_review,3,3,0,0,1
test_challenge,appworld_delete_gmail_empty_drafts,3,3,0,0,1
test_challenge,appworld_gmail_attach_job_search_files_and_send,3,3,0,0,1
test_challenge,appworld_gmail_delete_archived_threads_by_calendar_window,3,3,0,0,1
test_challenge,appworld_gmail_download_flight_ticket_attachment,3,3,0,0,1
test_challenge,appworld_gmail_forward_anniversary_announcement_email,3,3,0,0,1
test_challenge,appworld_gmail_forward_caterer_bill_to_manager_with_note,3,3,0,0,1
test_challenge,appworld_gmail_label_notification_threads_by_app,3,3,0,0,1
test_challenge,appworld_gmail_mark_threads_read_state_by_calendar_window,3,3,0,0,1
test_challenge,appworld_gmail_relabel_priority_threads,3,3,0,0,1
test_challenge,appworld_gmail_reply_weekly_manager_tasks_by_star_state,3,3,0,0,1
test_challenge,appworld_gmail_send_future_scheduled_drafts_now,3,3,0,0,1
