split,task_id,scenario_id,compiled,dispatchable,abstained,incomplete,intent_type,missing_slots,abstain_reason,unsupported_bucket,instruction_hash
test_normal,3d9a636_1,3d9a636,1,1,0,0,appworld_venmo_reset_friends_to_phone_friends,,,,592bb69cbbf20953
test_normal,3d9a636_2,3d9a636,1,1,0,0,appworld_venmo_reset_friends_to_phone_friends,,,,592bb69cbbf20953
test_normal,3d9a636_3,3d9a636,1,1,0,0,appworld_venmo_reset_friends_to_phone_friends,,,,592bb69cbbf20953
test_normal,fd1f8fa_1,fd1f8fa,1,1,0,0,appworld_spotify_filter_queue_by_liked_status,,,,4ac28377ff30184f
test_normal,fd1f8fa_2,fd1f8fa,1,1,0,0,appworld_spotify_filter_queue_by_liked_status,,,,63edd1b94d53c6ae
test_normal,fd1f8fa_3,fd1f8fa,1,1,0,0,appworld_spotify_filter_queue_by_liked_status,,,,4ac28377ff30184f
test_normal,325d6ec_1,325d6ec,1,1,0,0,appworld_spotify_navigate_until_private_status,,,,c479c0a09d37597d
test_normal,325d6ec_2,325d6ec,1,1,0,0,appworld_spotify_navigate_until_private_status,,,,25850074fe5320eb
test_normal,325d6ec_3,325d6ec,1,1,0,0,appworld_spotify_navigate_until_private_status,,,,2383b63d17d108a1
test_normal,29a7b7e_1,29a7b7e,1,1,0,0,appworld_file_reorganize_dated_meeting_files,,,,91b13a581e8da70c
test_normal,29a7b7e_2,29a7b7e,1,1,0,0,appworld_file_reorganize_dated_meeting_files,,,,7340f5f4d7673af2
test_normal,29a7b7e_3,29a7b7e,1,1,0,0,appworld_file_reorganize_dated_meeting_files,,,,8feb0a360ad9e8de
test_normal,21abae1_1,21abae1,1,1,0,0,appworld_venmo_sum_month_transactions,,,,8c72681145f02e55
test_normal,21abae1_2,21abae1,1,1,0,0,appworld_venmo_sum_month_transactions,,,,275ec6b16df918bf
test_normal,21abae1_3,21abae1,1,1,0,0,appworld_venmo_sum_month_transactions,,,,5fd6bd8c69d95dd4
test_normal,634f342_1,634f342,1,1,0,0,appworld_spotify_archive_playlist_songs_from_file,,,,ea14eb77a5d78202
test_normal,634f342_2,634f342,1,1,0,0,appworld_spotify_archive_playlist_songs_from_file,,,,e0ebf63030a32f0f
test_normal,634f342_3,634f342,1,1,0,0,appworld_spotify_archive_playlist_songs_from_file,,,,ba3bee98a6d86858
test_normal,8749218_1,8749218,1,1,0,0,appworld_spotify_reset_queue_with_recommendations,,,,449a74803221e92a
test_normal,8749218_2,8749218,1,1,0,0,appworld_spotify_reset_queue_with_recommendations,,,,449a74803221e92a
test_normal,8749218_3,8749218,1,1,0,0,appworld_spotify_reset_queue_with_recommendations,,,,449a74803221e92a
test_normal,2d9f728_1,2d9f728,1,1,0,0,appworld_venmo_settle_roommate_dinner,,,,1fb47e0fe3e28c9b
test_normal,2d9f728_2,2d9f728,1,1,0,0,appworld_venmo_settle_roommate_dinner,,,,3e3c56110df7144b
test_normal,2d9f728_3,2d9f728,1,1,0,0,appworld_venmo_settle_roommate_dinner,,,,69cebf9b3d2d6827
test_normal,6f4b9a5_1,6f4b9a5,1,1,0,0,appworld_simple_note_fill_liked_song_release_months,,,,f53e706cb4ad38f1
test_normal,6f4b9a5_2,6f4b9a5,1,1,0,0,appworld_simple_note_fill_liked_song_release_months,,,,f53e706cb4ad38f1
test_normal,6f4b9a5_3,6f4b9a5,1,1,0,0,appworld_simple_note_fill_liked_song_release_months,,,,f53e706cb4ad38f1
test_normal,d6ac34d_1,d6ac34d,1,1,0,0,appworld_simple_note_add_today_habit_log,,,,26f778d8449c6705
test_normal,d6ac34d_2,d6ac34d,1,1,0,0,appworld_simple_note_add_today_habit_log,,,,f33dfcc08c19b4c0
test_normal,d6ac34d_3,d6ac34d,1,1,0,0,appworld_simple_note_add_today_habit_log,,,,5959d3a980712f95
test_normal,0d01c76_1,0d01c76,1,1,0,0,appworld_simple_note_import_markdown_files,,,,96d4811cd82985c7
test_normal,0d01c76_2,0d01c76,1,1,0,0,appworld_simple_note_import_markdown_files,,,,47a148e35074c08a
test_normal,0d01c76_3,0d01c76,1,1,0,0,appworld_simple_note_import_markdown_files,,,,2cadfc2fdec6daef
test_normal,ff58e36_1,ff58e36,1,1,0,0,appworld_venmo_add_friends_by_relationships,,,,998564533e3aaead
test_normal,ff58e36_2,ff58e36,1,1,0,0,appworld_venmo_add_friends_by_relationships,,,,5167d95ed9ef29df
test_normal,ff58e36_3,ff58e36,1,1,0,0,appworld_venmo_add_friends_by_relationships,,,,43bcac36fc04f011
test_normal,d18139b_1,d18139b,1,1,0,0,appworld_venmo_approve_roommate_requests_this_month,,,,fde8cd19bbd3f3c2
test_normal,d18139b_2,d18139b,1,1,0,0,appworld_venmo_approve_roommate_requests_this_month,,,,fde8cd19bbd3f3c2
test_normal,d18139b_3,d18139b,1,1,0,0,appworld_venmo_approve_roommate_requests_this_month,,,,fde8cd19bbd3f3c2
test_normal,5a83b05_1,5a83b05,1,1,0,0,appworld_file_delete_downloads_by_extension,,,,cd366f856f142411
test_normal,5a83b05_2,5a83b05,1,1,0,0,appworld_file_delete_downloads_by_extension,,,,07cda6edddeaa40a
test_normal,5a83b05_3,5a83b05,1,1,0,0,appworld_file_delete_downloads_by_extension,,,,cd366f856f142411
test_normal,042a9fc_1,042a9fc,1,1,0,0,appworld_spotify_apply_phone_playlist_suggestions,,,,3591707be8a785bd
test_normal,042a9fc_2,042a9fc,1,1,0,0,appworld_spotify_apply_phone_playlist_suggestions,,,,8aba58058ee2b5d7
test_normal,042a9fc_3,042a9fc,1,1,0,0,appworld_spotify_apply_phone_playlist_suggestions,,,,3591707be8a785bd
test_normal,cef9191_1,cef9191,1,1,0,0,appworld_spotify_followed_artist_follower_extreme,,,,167a355d60355dd1
test_normal,cef9191_2,cef9191,1,1,0,0,appworld_spotify_followed_artist_follower_extreme,,,,ba9c1683d191c54e
test_normal,cef9191_3,cef9191,1,1,0,0,appworld_spotify_followed_artist_follower_extreme,,,,167a355d60355dd1
test_normal,3b8fb7a_1,3b8fb7a,1,1,0,0,appworld_venmo_settle_trip_note_debts,,,,212596d85f7a0f6b
test_normal,3b8fb7a_2,3b8fb7a,1,1,0,0,appworld_venmo_settle_trip_note_debts,,,,75e1901487ebb51f
test_normal,3b8fb7a_3,3b8fb7a,1,1,0,0,appworld_venmo_settle_trip_note_debts,,,,a6e8e47aaed27ce5
test_normal,afc4005_1,afc4005,1,1,0,0,appworld_simple_note_workout_duration,,,,b795db813b4598f8
test_normal,afc4005_2,afc4005,1,1,0,0,appworld_simple_note_workout_duration,,,,f688e6203d2322bc
test_normal,afc4005_3,afc4005,1,1,0,0,appworld_simple_note_workout_duration,,,,278740e865eb842c
test_normal,9dabbc9_1,9dabbc9,1,1,0,0,appworld_venmo_correct_housing_bill_request,,,,a89b7ee1b5aaef1f
test_normal,9dabbc9_2,9dabbc9,1,1,0,0,appworld_venmo_correct_housing_bill_request,,,,15ac6c26a1280749
test_normal,9dabbc9_3,9dabbc9,1,1,0,0,appworld_venmo_correct_housing_bill_request,,,,829d2bef9a279739
test_normal,425a494_1,425a494,1,1,0,0,appworld_spotify_liked_genre_extreme,,,,9cabad3f3f8289b7
test_normal,425a494_2,425a494,1,1,0,0,appworld_spotify_liked_genre_extreme,,,,26d35b437a6e6bff
test_normal,425a494_3,425a494,1,1,0,0,appworld_spotify_liked_genre_extreme,,,,312625f7e5a041bd
test_normal,a30375d_1,a30375d,1,1,0,0,appworld_simple_note_random_quote,,,,b1193793c7f9efff
test_normal,a30375d_2,a30375d,1,1,0,0,appworld_simple_note_random_quote,,,,2b889cd23db4723c
test_normal,a30375d_3,a30375d,1,1,0,0,appworld_simple_note_random_quote,,,,45621e64911a5c7a
test_normal,09b0ee6_1,09b0ee6,1,1,0,0,appworld_spotify_playlist_artist_song_count_extreme,,,,cdc9501bd83c261e
test_normal,09b0ee6_2,09b0ee6,1,1,0,0,appworld_spotify_playlist_artist_song_count_extreme,,,,a8eb447bb335e416
test_normal,09b0ee6_3,09b0ee6,1,1,0,0,appworld_spotify_playlist_artist_song_count_extreme,,,,d07688da44e98c5a
test_normal,d194965_1,d194965,1,1,0,0,appworld_spotify_playlist_from_recent_simple_note,,,,1ac6086404f02e29
test_normal,d194965_2,d194965,1,1,0,0,appworld_spotify_playlist_from_recent_simple_note,,,,ea671fb0c47a55ea
test_normal,d194965_3,d194965,1,1,0,0,appworld_spotify_playlist_from_recent_simple_note,,,,222c89ce2e79da58
test_normal,7847649_1,7847649,1,1,0,0,appworld_simple_note_count_bucket_list_status,,,,c9bc0ccb37f7be76
test_normal,7847649_2,7847649,1,1,0,0,appworld_simple_note_count_bucket_list_status,,,,fb54e507fa165c07
test_normal,7847649_3,7847649,1,1,0,0,appworld_simple_note_count_bucket_list_status,,,,edf6ccd3f10100d5
test_normal,552869a_1,552869a,1,1,0,0,appworld_venmo_sum_year_bill_payments,,,,ae0d7425b195ea9a
test_normal,552869a_2,552869a,1,1,0,0,appworld_venmo_sum_year_bill_payments,,,,c23d4d0b9aae6f47
test_normal,552869a_3,552869a,1,1,0,0,appworld_venmo_sum_year_bill_payments,,,,e0056f440bedf630
test_normal,652485c_1,652485c,1,1,0,0,appworld_spotify_public_liked_library_playlist_share,,,,0bd47917471b37b6
test_normal,652485c_2,652485c,1,1,0,0,appworld_spotify_public_liked_library_playlist_share,,,,4d969fa537c68207
test_normal,652485c_3,652485c,1,1,0,0,appworld_spotify_public_liked_library_playlist_share,,,,0bd47917471b37b6
test_normal,ccf4b82_1,ccf4b82,1,1,0,0,appworld_venmo_approve_requests_and_withdraw_balance,,,,02f30f11ce266bfa
test_normal,ccf4b82_2,ccf4b82,1,1,0,0,appworld_venmo_approve_requests_and_withdraw_balance,,,,de9227f4d53513e0
test_normal,ccf4b82_3,ccf4b82,1,1,0,0,appworld_venmo_approve_requests_and_withdraw_balance,,,,8bb148a44ee9cb59
test_normal,522e5e5_1,522e5e5,1,1,0,0,appworld_venmo_friend_transaction_counterparties,,,,ad93d3be45bac8c0
test_normal,522e5e5_2,522e5e5,1,1,0,0,appworld_venmo_friend_transaction_counterparties,,,,438c4ab330034232
test_normal,522e5e5_3,522e5e5,1,1,0,0,appworld_venmo_friend_transaction_counterparties,,,,69cf98895d658d98
test_normal,0de03ea_1,0de03ea,1,1,0,0,appworld_spotify_play_offline_downloaded_collection,,,,97d2ae07f37901ad
test_normal,0de03ea_2,0de03ea,1,1,0,0,appworld_spotify_play_offline_downloaded_collection,,,,02a3ea2fd3649972
test_normal,0de03ea_3,0de03ea,1,1,0,0,appworld_spotify_play_offline_downloaded_collection,,,,c08f94fa609dc53e
test_normal,2c544f9_1,2c544f9,1,1,0,0,appworld_venmo_send_to_named_user,,,,b50b49fcc7314e3e
test_normal,2c544f9_2,2c544f9,1,1,0,0,appworld_venmo_send_to_named_user,,,,124f77e12a328353
test_normal,2c544f9_3,2c544f9,1,1,0,0,appworld_venmo_send_to_named_user,,,,6996b6db580b3a43
test_normal,270f1ff_1,270f1ff,1,1,0,0,appworld_venmo_birthday_child_payment_and_text,,,,b61f29a48dd76641
test_normal,270f1ff_2,270f1ff,1,1,0,0,appworld_venmo_birthday_child_payment_and_text,,,,9eb504abcdcaad4a
test_normal,270f1ff_3,270f1ff,1,1,0,0,appworld_venmo_birthday_child_payment_and_text,,,,b150b4801c3e1465
test_normal,024c982_1,024c982,1,1,0,0,appworld_venmo_request_money_from_contact,,,,e44e29c259caee9a
test_normal,024c982_2,024c982,1,1,0,0,appworld_venmo_request_money_from_contact,,,,45a1bf5c90487f96
test_normal,024c982_3,024c982,1,1,0,0,appworld_venmo_request_money_from_contact,,,,10dd08ff6e3e8619
test_normal,9ef798c_1,9ef798c,1,1,0,0,appworld_venmo_accept_named_carpool_request_this_month,,,,481e9e9b5e537f99
test_normal,9ef798c_2,9ef798c,1,1,0,0,appworld_venmo_accept_named_carpool_request_this_month,,,,c27e837d45edcc1a
test_normal,9ef798c_3,9ef798c,1,1,0,0,appworld_venmo_accept_named_carpool_request_this_month,,,,41755b5639465c4c
test_normal,b9c5c9a_1,b9c5c9a,1,1,0,0,appworld_file_update_reunion_rsvps_from_phone,,,,e7d6f32d4d3190d2
test_normal,b9c5c9a_2,b9c5c9a,1,1,0,0,appworld_file_update_reunion_rsvps_from_phone,,,,eda798ca0b359c06
test_normal,b9c5c9a_3,b9c5c9a,1,1,0,0,appworld_file_update_reunion_rsvps_from_phone,,,,0fd75c9885b81370
test_normal,90adc3f_1,90adc3f,1,1,0,0,appworld_venmo_correct_sent_requests_yesterday_evening,,,,1af1a18a8756aa63
test_normal,90adc3f_2,90adc3f,1,1,0,0,appworld_venmo_correct_sent_requests_yesterday_evening,,,,b45120f3795dcef2
test_normal,90adc3f_3,90adc3f,1,1,0,0,appworld_venmo_correct_sent_requests_yesterday_evening,,,,da24b3c166a06c83
test_normal,c77c005_1,c77c005,1,1,0,0,appworld_venmo_friend_transaction_counterparties,,,,0620ed8851c96231
test_normal,c77c005_2,c77c005,1,1,0,0,appworld_venmo_friend_transaction_counterparties,,,,f24d51d25dc286d8
test_normal,c77c005_3,c77c005,1,1,0,0,appworld_venmo_friend_transaction_counterparties,,,,3cdb21c9f1dc5bb2
test_normal,f323bae_1,f323bae,1,1,0,0,appworld_simple_note_export_habit_tracker_csv,,,,a46da56d77228ab5
test_normal,f323bae_2,f323bae,1,1,0,0,appworld_simple_note_export_habit_tracker_csv,,,,2c7444c2a5987950
test_normal,f323bae_3,f323bae,1,1,0,0,appworld_simple_note_export_habit_tracker_csv,,,,3960167acf278ae2
test_normal,13547f5_1,13547f5,1,1,0,0,appworld_phone_send_message_to_relationship,,,,044a052f91f06e2c
test_normal,13547f5_2,13547f5,1,1,0,0,appworld_phone_send_message_to_relationship,,,,0a2aaad9a002019d
test_normal,13547f5_3,13547f5,1,1,0,0,appworld_phone_send_message_to_relationship,,,,20619a5ebbdb3e5c
test_normal,1150ed6_1,1150ed6,1,1,0,0,appworld_spotify_play_released_year_from_collection,,,,fbdd7dc07393972c
test_normal,1150ed6_2,1150ed6,1,1,0,0,appworld_spotify_play_released_year_from_collection,,,,665f4feac2f9e47e
